gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,DETPH,0.2407734686986939,0.1105897024243328,0.0147417310602453
SCZ_PGC3,mousebrain-zeisel2018,MFOL2,0.1352517590416052,0.0638040594670768,0.0170200389190896
SCZ_PGC3,mousebrain-zeisel2018,HYPEP6,0.213331686378718,0.1016629828777528,0.0179426909262129
SCZ_PGC3,mousebrain-zeisel2018,NFOL2,0.1485924217754857,0.0713944639750287,0.0187125960909583
SCZ_PGC3,mousebrain-zeisel2018,HBSER5,0.1733836952800667,0.0842355362962606,0.0197886804376373
SCZ_PGC3,mousebrain-zeisel2018,SCINH10,0.2360909707253512,0.1166737818685173,0.0215193292982802
SCZ_PGC3,mousebrain-zeisel2018,DGGRC2,0.1458039536662337,0.0729937097908077,0.0228955619488978
SCZ_PGC3,mousebrain-zeisel2018,OBINH5,0.2135096782265309,0.1075831924407285,0.0236039259903556
SCZ_PGC3,mousebrain-zeisel2018,CBNBL2,0.2185152357473314,0.1114325359597587,0.0249512051322182
SCZ_PGC3,mousebrain-zeisel2018,MEINH1,0.2185002675664018,0.1115633051374894,0.0250934606743292
SCZ_PGC3,mousebrain-zeisel2018,SCINH7,0.2119142928734813,0.1082100846052301,0.0251035300942214
SCZ_PGC3,mousebrain-zeisel2018,OBINH4,0.1877292770032928,0.0960698340764225,0.0253548387942532
SCZ_PGC3,mousebrain-zeisel2018,SCINH8,0.1918851325913284,0.1005547771488046,0.0281884327885633
SCZ_PGC3,mousebrain-zeisel2018,OBNBL1,0.1673302218856132,0.089101620991875,0.0302026859119145
SCZ_PGC3,mousebrain-zeisel2018,SCGLU2,0.2131692958650619,0.1145418944831373,0.031378054490594
SCZ_PGC3,mousebrain-zeisel2018,MEGLU3,0.1803556952812272,0.0998654428921032,0.0354706123844607
SCZ_PGC3,mousebrain-zeisel2018,MEINH7,0.1810964761252372,0.1005631109700685,0.035875754452603
SCZ_PGC3,mousebrain-zeisel2018,MBDOP2,0.173581484823283,0.0973887570737106,0.0373560824670524
SCZ_PGC3,mousebrain-zeisel2018,DECHO2,0.1624053318353529,0.0924760756818283,0.0395388176383298
SCZ_PGC3,mousebrain-zeisel2018,SCINH6,0.1616263866071999,0.0923334294502061,0.0400297423463367
SCZ_PGC3,mousebrain-zeisel2018,HYPEP3,0.1721679789848928,0.1001067262334384,0.0427411145024184
SCZ_PGC3,mousebrain-zeisel2018,MEINH13,0.1610632695557297,0.094212473987245,0.0436830325728335
SCZ_PGC3,mousebrain-zeisel2018,HBGLU4,0.1732769179542871,0.1030493586473622,0.0463442993394363
SCZ_PGC3,mousebrain-zeisel2018,DECHO1,0.1340737561464018,0.0797753536628791,0.0464271400127746
SCZ_PGC3,mousebrain-zeisel2018,SCGLU4,0.1427563034445562,0.0921303275290306,0.0606412970332964
